	bloom	bluff	book	chaco	co_mon	factory	grand_st	gypsum	hiawath	kaip	lees_f	manzan	moab	san_raf	sevenmile	westwater
bloom																
bluff	0.0176214															
book	0.0586768	0.0497729														
chaco	0.0215912	0.0283892	0.0667234													
co_mon	0.0317224	0.0256732	0.0619206	0.0415536												
factory	0.0380321	0.029294	0.0459471	0.0497682	0.041074											
grand_st	0.0458459	0.0283536	0.0646918	0.0567811	0.0452964	0.0412801										
gypsum	0.0169761	0.0124116	0.050336	0.0261777	0.0243735	0.031182	0.0335896									
hiawath	0.0495269	0.0410565	0.063581	0.0571968	0.0555597	0.034748	0.0542831	0.0421685								
kaip	0.0537111	0.0350869	0.0722329	0.0641957	0.0535227	0.0465173	0.0188887	0.0418644	0.0624559							
lees_f	0.0540365	0.0350099	0.071518	0.06497	0.0539953	0.0454293	0.0170605	0.0412562	0.0605251	0.0202219						
manzan	0.0305799	0.0350179	0.0806715	0.0390495	0.0507124	0.053841	0.0647721	0.033879	0.073564	0.0735007	0.0743702					
moab	0.0418983	0.0347577	0.0662835	0.0521063	0.0467172	0.0466357	0.0511279	0.0359615	0.0583411	0.0576708	0.0560428	0.0597978				
san_raf	0.0268358	0.020092	0.0385417	0.0378451	0.0329506	0.0184449	0.0337557	0.0229078	0.0281873	0.0393389	0.0391063	0.0433582	0.0357534			
sevenmile	0.023385	0.0164939	0.0376759	0.0342044	0.0285519	0.0197533	0.0296612	0.0177199	0.0290979	0.036939	0.0352877	0.0411284	0.0341642	0.0141164		
westwater	0.020463	0.0149386	0.0368217	0.0317424	0.0229927	0.0186788	0.0293349	0.0146923	0.0292786	0.035519	0.0353845	0.036024	0.0328148	0.0116088	0.0113448	
