record	longitude	latitude
1	-107.8679414	36.00912709
2	-111.412	36.0426
3	-112	36.06
4	-107.9578631	36.06731581
5	-107.78	36.076
6	-109.53	36.1
7	-109.538889	36.148889
8	-109.5526	36.1544
9	-109.50833	36.15528
10	-111.836893	36.157246
11	-111.83689	36.15725
12	-111.8365	36.1651
13	-109.466667	36.166667
14	-111.175679	36.186261
15	-111.803016	36.191441
16	-107.5613889	36.2061111
17	-111.8838	36.263
18	-111.905556	36.275
19	-111.8891	36.284883
20	-108.4244444	36.3144444
21	-110.832076	36.332552
22	-111.856361	36.503528
23	-111.856389	36.503611
24	-108.4666667	36.5833333
25	-108.96912	36.59214
26	-111.088	36.6
27	-111.654	36.6069
28	-111.65361	36.62861
29	-110.7603	36.6514
30	-111.152175	36.651827
31	-111.6165	36.6667
32	-111.25508	36.66921
33	-110.45164	36.67085
34	-111.7419444	36.6738889
35	-111.74111	36.67389
36	-111.7418	36.6739
37	-110.55	36.675
38	-107.5571	36.682
39	-111.8295	36.6943
40	-111.781559	36.695521
41	-109.715738	36.718026
42	-109.768	36.7216
43	-110.25629	36.72449
44	-111.45806	36.72722
45	-108.22939	36.7276
46	-111.904417	36.734811
47	-107.9969513	36.7402281
48	-111.7765	36.745613
49	-111.7189	36.75339
50	-111.742151	36.759047
51	-111.704	36.7666
52	-108.4489	36.774
53	-111.748191	36.785738
54	-111.6838	36.7903
55	-111.731526	36.792846
56	-111.73153	36.79285
57	-111.744197	36.797959
58	-109.547223	36.799433
59	-111.675577	36.807266
60	-111.65	36.81
61	-111.717395	36.822618
62	-108.0001333	36.8321
63	-109.133	36.833
64	-110.2	36.833333
65	-111.679771	36.838992
66	-111.395835	36.84706
67	-111.740347	36.860273
68	-111.62989	36.864173
69	-111.5842	36.8662
70	-111.776656	36.868714
71	-111.59	36.87
72	-111.608806	36.879238
73	-111.741626	36.889364
74	-110.2337	36.9001
75	-110.2494444	36.9019444
76	-110.2242	36.9264
77	-109.6379	36.9669
78	-111.875604	36.968237
79	-110.7783333	36.9813889
80	-107.5991667	36.9911111
